User ID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category,YearMonth
1,56,Female,USA,331.79,2021-11-21,Sports,2021-11
2,69,Male,Australia,335.72,2022-03-05,Home & Kitchen,2022-03
4,32,Male,Germany,80.97,2023-06-08,Sports,2023-06
6,43,Male,France,281.94,2021-12-27,Beauty,2021-12
7,38,Female,Canada,222.2,2022-02-23,Beauty,2022-02
8,56,Male,USA,217.27,2021-09-08,Sports,2021-09
9,36,Male,Australia,116.53,2022-06-04,Clothing,2022-06
10,40,Female,France,255.9,2020-01-23,Home & Kitchen,2020-01
11,28,Female,Australia,223.88,2022-03-17,Beauty,2022-03
13,41,Female,USA,224.16,2023-05-02,Books,2023-05
14,53,Male,Canada,195.0,2020-09-22,Books,2020-09
15,57,Male,USA,470.25,2020-03-23,Books,2020-03
17,20,Other,Australia,420.75,2021-10-16,Clothing,2021-10
18,43,Female,UK,495.25,2021-07-08,Beauty,2021-07
19,19,Male,Canada,136.53,2020-12-09,Electronics,2020-12
20,41,Male,France,422.25,2020-01-12,Beauty,2020-01
21,61,Other,UK,206.28,2021-03-25,Beauty,2021-03
22,43,Female,Australia,374.34,2021-07-27,Clothing,2021-07
24,19,Male,UK,281.94,2021-05-04,Books,2021-05
25,38,Male,Canada,46.31,2023-04-05,Electronics,2023-04
26,50,Female,,281.94,2021-10-23,Home & Kitchen,2021-10
27,29,Female,Australia,411.87,2021-04-09,Books,2021-04
28,39,Other,,281.94,2022-06-28,Beauty,2022-06
29,61,Male,Australia,253.12,2021-09-08,Electronics,2021-09
30,42,Male,Germany,338.03,2020-01-07,Clothing,2020-01
31,66,Other,Canada,96.86,2022-10-03,Beauty,2022-10
32,44,Male,France,335.54,2023-04-01,Home & Kitchen,2023-04
33,59,Other,UK,281.94,2022-03-12,Sports,2022-03
35,33,Male,France,260.56,2020-11-14,Electronics,2020-11
36,32,Female,UK,472.22,2020-05-09,Electronics,2020-05
37,64,Female,France,241.69,2020-04-18,Beauty,2020-04
38,68,Female,USA,219.38,2020-08-06,Beauty,2020-08
40,69,Male,France,183.07,2021-03-04,Clothing,2021-03
41,20,Other,USA,87.5,2021-10-03,Home & Kitchen,2021-10
42,54,Other,USA,281.94,2020-08-31,Sports,2020-08
43,68,Male,,197.6,2021-03-13,Books,2021-03
44,43,Female,Germany,281.94,2020-11-02,Beauty,2020-11
45,38,Other,,14.84,2022-06-19,Electronics,2022-06
46,26,Male,Australia,34.83,2023-07-02,Electronics,2023-07
48,35,Female,Australia,440.22,2021-02-12,Books,2021-02
51,31,Other,UK,62.48,2022-02-15,Books,2022-02
52,67,Male,USA,450.4,2020-07-12,Home & Kitchen,2020-07
53,26,Other,USA,352.31,2022-08-20,Electronics,2022-08
54,43,Male,Australia,483.27,2023-10-19,Clothing,2023-10
56,37,Female,France,451.79,2020-12-29,Clothing,2020-12
57,43,Other,Australia,423.59,2022-10-24,Clothing,2022-10
58,64,Female,France,281.94,2020-05-28,Home & Kitchen,2020-05
59,24,Female,UK,7.85,2022-12-20,Beauty,2022-12
60,43,Male,Germany,372.24,2022-03-04,Books,2022-03
61,25,Female,Canada,276.72,2023-02-14,Beauty,2023-02
62,64,Other,,288.72,2022-04-25,Home & Kitchen,2022-04
64,31,Female,France,372.63,2023-03-07,Beauty,2023-03
65,34,Male,Canada,499.92,2021-12-30,Clothing,2021-12
66,53,Female,France,356.72,2021-04-02,Electronics,2021-04
67,67,Other,,340.63,2021-04-29,Clothing,2021-04
68,57,Other,France,328.95,2023-01-10,Home & Kitchen,2023-01
69,21,Female,USA,349.13,2022-04-28,Beauty,2022-04
70,19,Female,France,174.35,2021-12-14,Beauty,2021-12
72,59,Other,UK,393.25,2020-12-09,Books,2020-12
74,46,Other,Australia,380.83,2020-08-23,Beauty,2020-08
75,35,Male,USA,407.85,2021-10-24,Beauty,2021-10
77,61,Other,France,455.52,2023-02-20,Beauty,2023-02
78,51,Male,Australia,239.18,2022-08-29,Clothing,2022-08
79,27,Male,France,93.15,2020-09-02,Books,2020-09
80,53,Male,UK,183.89,2023-07-01,Books,2023-07
81,31,Male,France,453.4,2021-07-19,Beauty,2021-07
82,48,Male,USA,281.94,2021-11-29,Electronics,2021-11
83,65,Male,UK,213.82,2022-07-03,Home & Kitchen,2022-07
84,32,Female,Germany,87.59,2020-10-07,Beauty,2020-10
85,25,Female,UK,146.73,2020-03-07,Beauty,2020-03
86,31,Female,Germany,278.88,2020-06-23,Clothing,2020-06
87,40,Female,Canada,288.19,2023-04-29,Beauty,2023-04
88,57,Other,USA,316.88,2020-10-11,Sports,2020-10
89,38,Male,USA,418.5,2020-10-31,Clothing,2020-10
91,62,Male,France,134.12,2022-03-03,Beauty,2022-03
92,35,Male,Australia,200.55,2021-02-10,Home & Kitchen,2021-02
93,43,Other,France,420.71,2020-11-27,Books,2020-11
94,41,Female,Canada,318.52,2020-10-31,Sports,2020-10
